"Type";"Title";"Group";"Publish Date";"Status";"Description";"pdf";"Landing Page"
"ECC Decisions";"ECC/DEC/(25)02";"FM44";"2025-06-27";"Active";"ECC/DEC/(25)02 of 27 June 2025 on low power devices communicating with satellites (LPD-S) within the frequency range 862-870 MHz 

(ECC#67)";"=HYPERLINK(""http://docdb.cept.org/download/4784"")";"=HYPERLINK(""http://docdb.cept.org/document/28652"")"
"ECC Decisions";"ECC/DEC/(25)01";"FM44";"2025-06-27";"Active";"ECC/DEC/(25)01 of 27 June 2025 on designation of the frequency bands used by the Global Navigation Satellite System, Galileo, and Technical and operational measures for the use of the frequency band 1258-1300 MHz by the amateur and amateur-satellite services in order to protect the radionavigation-satellite service (space-to-Earth)

(ECC#67)";"=HYPERLINK(""http://docdb.cept.org/download/4810"")";"=HYPERLINK(""http://docdb.cept.org/document/28651"")"
"ECC Decisions";"ECC/DEC/(24)01";"FM60";"2024-11-08";"Active";"ECC/DEC/(24)01 of 8 November 2024 on harmonised technical conditions for the shared use of the 3800-4200 MHz frequency band by low/medium power terrestrial wireless broadband systems (WBB LMP) providing local-area network connectivity

(ECC#65)";"=HYPERLINK(""http://docdb.cept.org/download/4628"")";"=HYPERLINK(""http://docdb.cept.org/document/28628"")"
"ECC Decisions";"ECC/DEC/(23)01";"FM44";"2024-11-08";"Active";"ECC/DEC/(23)01 of 7 July 2023 on the use of the band 40.5-42.5 GHz by earth stations in the fixed-satellite service (space-to-Earth) and broadcasting-satellite service and on the use of the band 42.5-43.5 GHz by earth stations in the fixed-satellite service (Earth-to-space)

latest updated on 8 November 2024 (ECC#65)";"=HYPERLINK(""http://docdb.cept.org/download/4593"")";"=HYPERLINK(""http://docdb.cept.org/document/28598"")"
"ECC Decisions";"ECC/DEC/(22)07";"ECC PT1";"2025-03-07";"Active";"ECC/DEC/(22)07 of 18 November 2022 on harmonised technical conditions for the usage of aerial UE for communications based on LTE and 5G NR in the bands 703-733 MHz, 832-862 MHz, 880-915 MHz, 1710-1785 MHz, 1920-1980 MHz, 2500-2570 MHz and 2570-2620 MHz harmonised for MFCN

corrected by ECC#66";"=HYPERLINK(""http://docdb.cept.org/download/4649"")";"=HYPERLINK(""http://docdb.cept.org/document/28575"")"
"ECC Decisions";"ECC/DEC/(22)06";"ECC PT1";"2022-11-18";"Active";"ECC/DEC/(22)06 of 18 November 2022 on harmonised technical conditions for Mobile/Fixed Communications Networks (MFCN) in the band 40.5-43.5 GHz 

(ECC#60)";"=HYPERLINK(""http://docdb.cept.org/download/4179"")";"=HYPERLINK(""http://docdb.cept.org/document/28571"")"
"ECC Decisions";"ECC/DEC/(22)05";"WGFM";"2022-11-18";"Active";"ECC/DEC/(22)05 of 18 November 2022 on the withdrawal of <a href=""https://docdb.cept.org/document/797"">ERC Decision (99)15</a> on the designation of the harmonised frequency band 40.5 to 43.5 GHz for the introduction of Multimedia Wireless Systems (MWS) and Point-to-Point (PtP) Fixed Wireless Systems

(ECC#60)";"=HYPERLINK(""http://docdb.cept.org/download/4220"")";"=HYPERLINK(""http://docdb.cept.org/document/28579"")"
"ECC Decisions";"ECC/DEC/(22)04";"WGFM";"2022-11-18";"Active";"ECC/DEC/(22)04 of 18 November 2022 on the withdrawal of <a href=""https://docdb.cept.org/document/446"">ECC Decision (15)03</a> on the harmonised use of broadband Direct Air-to-Ground Communications (DA2GC) systems in the frequency band 5855-5875 MHz

(ECC#60)";"=HYPERLINK(""http://docdb.cept.org/download/4219"")";"=HYPERLINK(""http://docdb.cept.org/document/28578"")"
"ECC Decisions";"ECC/DEC/(22)03";"SRDMG";"2025-11-07";"Active";"ECC/DEC/(22)03 of 18 November 2022 on technical characteristics, exemption from individual licensing and free circulation and use of specific radiodetermination applications in the frequency range 116-260 GHz

latest amended 7 November 2025 (ECC#68)";"=HYPERLINK(""http://docdb.cept.org/download/4857"")";"=HYPERLINK(""http://docdb.cept.org/document/28577"")"
"ECC Decisions";"ECC/DEC/(22)02";"FM58";"2022-07-01";"Active";"ECC/DEC/(22)02 of 1 July 2022 on regulation to operate Autonomous Maritime Radio Devices (AMRD) in CEPT 

(ECC#59)";"=HYPERLINK(""http://docdb.cept.org/download/4055"")";"=HYPERLINK(""http://docdb.cept.org/document/28560"")"
"ECC Decisions";"ECC/DEC/(22)01";"ECC PT1";"2022-03-04";"Active";"ECC/DEC/(22)01 of 4 March 2022 on free circulation and use of Mobile/Fixed Communication Networks (MFCN) terminals operating under the control of terrestrial networks

(ECC#58)";"=HYPERLINK(""http://docdb.cept.org/download/3721"")";"=HYPERLINK(""http://docdb.cept.org/document/27242"")"
"ECC Decisions";"ECC/DEC/(21)03";"WGFM";"2021-11-05";"Active";"ECC/DEC/(21)03 of 5 November 2021 on the withdrawal of <a href=""https://docdb.cept.org/document/719"">ERC Decision (95)01</a> on the free circulation and use of certain radio equipment in CEPT member countries

(ECC#57)";"=HYPERLINK(""http://docdb.cept.org/download/3529"")";"=HYPERLINK(""http://docdb.cept.org/document/22512"")"
"ECC Decisions";"ECC/DEC/(21)02";"SRDMG";"2022-07-01";"Active";"ECC/DEC/(21)02 of 5 November 2021 on the harmonised frequency band 76-77 GHz, technical characteristics, exemption from individual licensing and free circulation and use of High Definition Ground Based Synthetic Aperture Radar (HD-GBSAR)

updated 1 July 2022 (ECC#59)";"=HYPERLINK(""http://docdb.cept.org/download/4065"")";"=HYPERLINK(""http://docdb.cept.org/document/22511"")"
"ECC Decisions";"ECC/DEC/(21)01";"FM44";"2022-03-04";"Active";"ECC/DEC/(21)01 of 5 November 2021 on the use of the bands 47.2-50.2 GHz and 50.4-52.4 GHz by the fixed-satellite service (Earth-to-space)

updated 4 March 2022 (ECC#58)";"=HYPERLINK(""http://docdb.cept.org/download/3733"")";"=HYPERLINK(""http://docdb.cept.org/document/22510"")"
"ECC Decisions";"ECC/DEC/(20)02";"FM56";"2024-06-28";"Active";"ECC/DEC/(20)02 of 20 November 2020 on harmonised use of the paired frequency bands 874.4-880.0 MHz and 919.4-925.0 MHz and of the unpaired frequency band 1900-1910 MHz for Railway Mobile Radio (RMR) 

amended 28 June 2024 (ECC#64)";"=HYPERLINK(""http://docdb.cept.org/download/4521"")";"=HYPERLINK(""http://docdb.cept.org/document/16736"")"
"ECC Decisions";"ECC/DEC/(20)01";"FM61";"2024-11-08";"Active";"ECC/DEC/(20)01 of 20 November 2020 on the harmonised use of the frequency band 5945-6425 MHz for Wireless Access Systems including Radio Local Area Networks (WAS/RLAN)

amended 8 November 2024 (ECC#65)   ";"=HYPERLINK(""http://docdb.cept.org/download/4685"")";"=HYPERLINK(""http://docdb.cept.org/document/16737"")"
"ECC Decisions";"ECC/DEC/(19)04";"FM44";"2021-05-28";"Active";"ECC/DEC/(19)04 of 6 March 2020 on the harmonised use of spectrum, free circulation and use of earth stations on-board aircraft operating with GSO FSS networks and NGSO FSS systems in the frequency bands 12.75-13.25 GHz (Earth-to-space) and 10.7-12.75 GHz (space-to-Earth) 

editorial update 28 May 2021 (WG FM#99)";"=HYPERLINK(""http://docdb.cept.org/download/3427"")";"=HYPERLINK(""http://docdb.cept.org/document/13856"")"
"ECC Decisions";"ECC/DEC/(19)03";"FM58";"2024-06-28";"Active";"ECC/DEC/(19)03 of 8 March 2019 on harmonised usage of the channels of the Radio Regulations Appendix 18 (Table of transmitting frequencies in the VHF maritime mobile band)

amended 28 June 2024 (ECC#64)";"=HYPERLINK(""http://docdb.cept.org/download/4518"")";"=HYPERLINK(""http://docdb.cept.org/document/9681"")"
"ECC Decisions";"ECC/DEC/(19)02";"FM62";"2019-03-08";"Active";"ECC/DEC/(19)02 of 8 March 2019 on Land mobile systems in the frequency ranges 68-87.5 MHz, 146-174 MHz, 406.1-410 MHz, 410-430 MHz, 440-450 MHz and 450-470 MHz 

(ECC#51)";"=HYPERLINK(""http://docdb.cept.org/download/1455"")";"=HYPERLINK(""http://docdb.cept.org/document/9680"")"
"ECC Decisions";"ECC/DEC/(19)01";"FM54";"2019-03-08";"Active";"ECC/DEC/(19)01 of 8 March 2019 on withdrawal of <a href=""https://docdb.cept.org/document/431"">ECC Decision (11)04</a> on exemption from individual licensing of digital terminals of narrowband and wideband PMR/PAMR/PPDR systems and free circulation and use of digital terminals of narrowband and wideband PPDR systems operating in the 80 MHz, 160 MHz, 380-470 MHz and 800/900 MHz bands

(ECC#51)";"=HYPERLINK(""http://docdb.cept.org/download/1456"")";"=HYPERLINK(""http://docdb.cept.org/document/9682"")"
"ECC Decisions";"ECC/DEC/(18)06";"ECC PT1";"2020-11-20";"Active";"ECC/DEC/(18)06 of 6 July 2018 on the harmonised technical conditions for Mobile/Fixed Communications Networks (MFCN) in the band 24.25-27.5 GHz

latest amended on 20 November 2020 (ECC#54)
";"=HYPERLINK(""http://docdb.cept.org/download/1459"")";"=HYPERLINK(""http://docdb.cept.org/document/3361"")"
"ECC Decisions";"ECC/DEC/(18)05";"FM44";"2024-11-08";"Active";"ECC/DEC/(18)05 of 6 July 2018 on the harmonised use, exemption from individual licensing and free circulation and use of Earth Stations In-Motion (ESIM) operating with NGSO FSS satellite systems in the frequency bands 10.7-12.75 GHz and 14.0-14.5 GHz  

latest updated on 8 November 2024 (ECC#65)";"=HYPERLINK(""http://docdb.cept.org/download/4561"")";"=HYPERLINK(""http://docdb.cept.org/document/3609"")"
"ECC Decisions";"ECC/DEC/(18)04";"FM44";"2024-11-08";"Active";"ECC/DEC/(18)04 of 6 July 2018 on the harmonised use, exemption from individual licensing and free circulation and use of land based Earth Stations In-Motion (ESIM) operating with GSO FSS satellite systems in the frequency bands 10.7-12.75 GHz and 14.0-14.5 GHz

latest updated on 8 November 2024 (ECC#65)";"=HYPERLINK(""http://docdb.cept.org/download/4559"")";"=HYPERLINK(""http://docdb.cept.org/document/3362"")"
