"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 303 659";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303600_303699/303659/01.01.01_60/en_303659v010101p.pdf"")";"865.0";"868.0";"MHz";"Tracking, tracing and data acquisition - Short Range Devices"
"EN 303 659";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303600_303699/303659/01.01.01_60/en_303659v010101p.pdf"")";"915.0";"919.4";"MHz";"Tracking, tracing and data acquisition - Short Range Devices"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"2010.0";"2110.0";"MHz";"Video PMSE - PMSE"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"2200.0";"2500.0";"MHz";"Video PMSE - PMSE"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"2700.0";"2900.0";"MHz";"Video PMSE - PMSE"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"7000.0";"8500.0";"MHz";"Video PMSE - PMSE"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"10000.0";"10680.0";"MHz";"Video PMSE - PMSE"
"EN 302 064";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302000_302099/302064/02.02.01_60/en_302064v020201p.pdf"")";"21.2";"24.5";"GHz";"Video PMSE - PMSE"
"EN 304 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/304200_304299/30422001/01.02.01_60/en_30422001v010201p.pdf"")";"863.0";"868.0";"MHz";"Wideband data transmission systems - Short Range Devices"
"EN 304 220";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/304200_304299/30422001/01.02.01_60/en_30422001v010201p.pdf"")";"915.8";"919.4";"MHz";"Wideband data transmission systems - Short Range Devices"
"EN 303 661";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303600_303699/303661/01.01.01_60/en_303661v010101p.pdf"")";"17.1";"17.3";"GHz";"GBSAR - Radiodetermination applications - Short Range Devices"
"EN 303 661";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303600_303699/303661/01.01.01_60/en_303661v010101p.pdf"")";"76.0";"77.0";"GHz";"GBSAR - Radiodetermination applications - Short Range Devices"
"EN 303 753";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303700_303799/303753/01.01.01_60/en_303753v010101p.pdf"")";"57.0";"71.0";"GHz";"Wideband data transmission systems - Short Range Devices"
"EN 303 687";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303600_303699/303687/01.01.01_60/en_303687v010101p.pdf"")";"5945.0";"6425.0";"MHz";"RLAN - Wideband data transmission systems - Short Range Devices"
"EN 303 348";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303300_303399/303348/01.02.01_60/en_303348v010201p.pdf"")";"10.0";"9000.0";"Hz";"Inductive applications - Short Range Devices"
"EN 300 152";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300152/01.02.01_60/en_300152v010201p.pdf"")";"121.45";"121.55";"MHz";"EPIRBs - GMDSS - Maritime"
"EN 300 152";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300152/01.02.01_60/en_300152v010201p.pdf"")";"242.95";"243.05";"MHz";"EPIRBs - GMDSS - Maritime"
"EN 300 676";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300600_300699/30067602/02.01.01_60/en_30067602v020101p.pdf"")";"117.975";"121.45";"MHz";"Aeronautical communications - Aeronautical"
